genres,danceability,energy,valence,tempo,cluster,cluster_dbscan,cluster_hc,Cluster_Label
['new orleans jazz'],0.653,0.131,0.593,124.1,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.561,0.353,0.514,107.711,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.558,0.19,0.692,170.066,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.726,0.254,0.456,110.86,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.713,0.294,0.558,85.299,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.604,0.279,0.594,123.271,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.811,0.151,0.544,127.944,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.699,0.273,0.895,102.375,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.634,0.335,0.774,101.383,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.668,0.321,0.592,164.459,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.775,0.302,0.924,99.518,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.573,0.306,0.738,146.726,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.727,0.347,0.868,106.336,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.626,0.227,0.494,126.859,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.625,0.227,0.474,126.859,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.668,0.342,0.849,183.842,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.727,0.347,0.868,106.336,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.696,0.463,0.825,97.808,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.628,0.278,0.77,97.268,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.668,0.321,0.592,164.459,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.634,0.335,0.774,101.381,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.733,0.209,0.7,140.38,0,0.0,,Instrumental / Acoustic
